dataset,ticker,date,adjClose,return
crypto,XLM-USD,2021-01-06,0.34079301357269287,0.7492442836546367
crypto,XLM-USD,2021-01-28,0.29224100708961487,0.22240770155741973
crypto,XLM-USD,2021-04-05,0.5363669991493225,0.22512204427868188
crypto,XLM-USD,2021-05-19,0.45042699575424194,-0.30394597370787746
crypto,XLM-USD,2021-06-21,0.23666700720787048,-0.20482815026145496
crypto,XLM-USD,2021-09-07,0.33428698778152466,-0.21052968675438244
crypto,XLM-USD,2023-07-13,0.15487900376319885,0.6089319041456984
crypto,XRP-USD,2020-03-12,0.13963499665260315,-0.3289875909106468
crypto,XRP-USD,2020-11-21,0.4583440124988556,0.3971006896263536
crypto,XRP-USD,2020-11-23,0.6139799952507019,0.3837728532335991
crypto,XRP-USD,2020-12-16,0.5686280131340027,0.21059381815145528
crypto,XRP-USD,2020-12-23,0.25860199332237244,-0.42334007070183066
crypto,XRP-USD,2020-12-24,0.33781901001930237,0.30632794310358724
crypto,XRP-USD,2021-01-07,0.32600200176239014,0.2993563448913774
crypto,XRP-USD,2021-01-30,0.44024398922920227,0.5601088348528376
crypto,XRP-USD,2021-02-01,0.37150898575782776,-0.24538205786595169
crypto,XRP-USD,2021-04-05,0.9204729795455933,0.4232746486921297
crypto,XRP-USD,2021-04-10,1.3744159936904907,0.346361918588187
crypto,XRP-USD,2021-04-13,1.7940009832382202,0.22229211645568725
crypto,XRP-USD,2021-04-26,1.3685059547424316,0.3257427859022859
crypto,XRP-USD,2021-05-19,1.0703129768371582,-0.3271577941439642
crypto,XRP-USD,2021-05-24,0.9928349852561951,0.24569170111817562
crypto,XRP-USD,2021-06-21,0.6103879809379578,-0.21379952853818052
crypto,XRP-USD,2022-02-07,0.8278189897537231,0.21088663837820243
crypto,XRP-USD,2022-09-22,0.48510101437568665,0.22244654998618896
crypto,XRP-USD,2023-03-21,0.46970999240875244,0.25380372827341624
crypto,XRP-USD,2023-07-13,0.8153650164604187,0.7307500458163925
