date,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net,model
2022-08-15,0.007723064520362414,0.0077230645203623105,0.0,0.0,1.1149829537271698,-0.08967626884137614,1.1131608118920218,-0.0898614758491938,Base Equity Minimum-Variance
2022-08-16,0.014217689410181865,0.014217689410181755,0.0,0.0,1.1308354350609098,-0.07673356876904502,1.1289873865790883,-0.07692140899257649,Base Equity Minimum-Variance
2022-08-17,-0.00764343708394293,-0.007643437083942883,0.0,0.0,1.1221919655607286,-0.08379049764787527,1.1203580425212059,-0.08397690212647646,Base Equity Minimum-Variance
2022-08-18,-0.00455246019524018,-0.004552460195240138,0.0,0.0,1.1170832313060952,-0.08796150493783406,1.115257657128211,-0.08814706081746615,Base Equity Minimum-Variance
2022-08-19,-0.0061747895093529695,-0.006174789509353018,0.0,0.0,1.1101854774883522,-0.09359315066926999,1.10837117584675,-0.09377756078040322,Base Equity Minimum-Variance
2022-08-22,-0.01397703243877145,-0.013977032438771464,0.0,0.0,1.0946683790564444,-0.10626202860509026,1.0928794359677407,-0.10644386121011806,Base Equity Minimum-Variance
2022-08-23,-0.005050573919335063,-0.005050573919335055,0.0,0.0,1.089139675490861,-0.11077591829413691,1.0873597675914644,-0.1109568325401521,Base Equity Minimum-Variance
2022-08-24,-0.0006696822935933934,-0.0006696822935934321,0.0,0.0,1.0884102979349348,-0.1113714159166922,1.0866315820083425,-0.11155220900764018,Base Equity Minimum-Variance
2022-08-25,0.008551152271878583,0.008551152271878637,0.0,0.0,1.0977174601268573,-0.10377261758105183,1.0959235341295281,-0.10395495666125032,Base Equity Minimum-Variance
2022-08-26,-0.025555625625118213,-0.02555562562511826,0.0,0.0,1.0696646036736996,-0.12667626904113016,1.0679165225775573,-0.12685394833205843,Base Equity Minimum-Variance
2022-08-29,-0.007125941938030739,-0.007125941938030733,0.0,0.0,1.062042235814754,-0.1328995232410476,1.060306611443006,-0.13307593639966486,Base Equity Minimum-Variance
2022-08-30,-0.008309128564084715,-0.008309128564084722,0.0,0.0,1.0532175903368812,-0.14010437258041697,1.051496387491177,-0.1402793198994189,Base Equity Minimum-Variance
2022-08-31,-0.003179865190495839,-0.0031798651904958453,0.0,0.0,1.049868500383351,-0.14283872475350812,1.0481527707306615,-0.1430131157636203,Base Equity Minimum-Variance
2022-09-01,0.013394798403344784,0.013350663170945687,0.04355186396112371,4.3551863961123716e-05,1.0639312772960077,-0.13135722227242763,1.06214630532438,-0.1315717725302621,Base Equity Minimum-Variance
2022-09-02,-0.012601916291706105,-0.01260191629170615,0.0,0.0,1.0505237043993954,-0.14230378584474557,1.0487612264951371,-0.14251563235819054,Base Equity Minimum-Variance
2022-09-06,-0.003254792341306748,-0.003254792341306767,0.0,0.0,1.047104467891955,-0.14509540891374595,1.0453477264872812,-0.1453065659107814,Base Equity Minimum-Variance
2022-09-07,0.017956262328022117,0.017956262328022055,0.0,0.0,1.065906550402267,-0.12974451781077068,1.0641182644880882,-0.12995946639823752,Base Equity Minimum-Variance
2022-09-08,0.003334500090002929,0.003334500090002912,0.0,0.0,1.069460815890518,-0.12684265082708523,1.0676665669367975,-0.12705831616063623,Base Equity Minimum-Variance
2022-09-09,0.0102173270522954,0.010217327052295389,0.0,0.0,1.080387846816086,-0.1179213166224703,1.0785752654339922,-0.11813918547926805,Base Equity Minimum-Variance
2022-09-12,0.01388300627280016,0.013883006272800147,0.0,0.0,1.0953868780704907,-0.10567541272803671,1.0935491326096993,-0.10589630625954005,Base Equity Minimum-Variance
2022-09-13,-0.02708560567353206,-0.02708560567353202,0.0,0.0,1.065717661031112,-0.12989873584302947,1.0639296920192,-0.13011364633944256,Base Equity Minimum-Variance
2022-09-14,0.0007032952669697869,0.0007032952669698833,0.0,0.0,1.0664671752180415,-0.12928679774216334,1.0646779487359859,-0.1295018593841114,Base Equity Minimum-Variance
2022-09-15,-0.00741826806525289,-0.00741826806525292,0.0,0.0,1.0585558358294809,-0.13574598168446683,1.0567798823090988,-0.13595944794150427,Base Equity Minimum-Variance
2022-09-16,0.0026787026549258256,0.0026787026549257575,0.0,0.0,1.0613913921573044,-0.13343090215107478,1.0596106813855124,-0.13364494022074158,Base Equity Minimum-Variance
2022-09-19,0.002740846450980732,0.0027408464509808272,0.0,0.0,1.0643005029876003,-0.13105576931470597,1.0625149115610093,-0.1312703940298563,Base Equity Minimum-Variance
2022-09-20,-0.013397748545030086,-0.013397748545030064,0.0,0.0,1.0500412724722235,-0.14269766561708208,1.04827960395057,-0.14290941484426734,Base Equity Minimum-Variance
2022-09-21,-0.010825188605034654,-0.010825188605034675,0.0,0.0,1.038674377654641,-0.15197812507831376,1.036931779526994,-0.1521875820801778,Base Equity Minimum-Variance
2022-09-22,0.0021576580910914536,0.0021576580910913634,0.0,0.0,1.040915481829597,-0.1501483838184664,1.0391691237710001,-0.15035829275692536,Base Equity Minimum-Variance
2022-09-23,-0.015657462429031065,-0.0156574624290311,0.0,0.0,1.0246173867810533,-0.16345490356908,1.0228983722581466,-0.1636615258662215,Base Equity Minimum-Variance
2022-09-26,-0.0063751550534107485,-0.006375155053410797,0.0,0.0,1.0180852920699035,-0.16878800826799767,1.0163772365311194,-0.16899331331595735,Base Equity Minimum-Variance
2022-09-27,-0.0025784676778853356,-0.0025784676778853877,0.0,0.0,1.0154601920509707,-0.17093126152214932,1.0137565406781854,-0.17113603719767878,Base Equity Minimum-Variance
2022-09-28,0.021558866074226173,0.02155886607422608,0.0,0.0,1.0373523623351055,-0.15305747962297778,1.0356119821705372,-0.15326667002987127,Base Equity Minimum-Variance
2022-09-29,-0.012197837937895608,-0.01219783793789564,0.0,0.0,1.0246989063348486,-0.16338834722924966,1.022979755045478,-0.16359498596546163,Base Equity Minimum-Variance
2022-09-30,-0.01764351444880021,-0.01764351444880019,0.0,0.0,1.0066196163752599,-0.1781491170129451,1.0049307969565031,-0.1783521099156289,Base Equity Minimum-Variance
2022-10-03,0.0232147845913705,0.023170233577344712,0.04354023680745889,4.354023680745889e-05,1.0299880739348597,-0.15907002579817286,1.0282152782510525,-0.15931433638404158,Base Equity Minimum-Variance
