date,fund,family,method,periods_per_year,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net
2023-10-27,Equity Risk Parity,equity,risk_parity,252,-0.010665203913155914,-0.010665203913155952,0.0,0.0,1.1461833380044493,-0.0978381071507558,1.1440640775982873,-0.09789367871067911
2023-10-30,Equity Risk Parity,equity,risk_parity,252,0.009226522794726971,0.009226522794727021,0.0,0.0,1.1567586246994837,-0.08951428988184817,1.1546198108888763,-0.0895703741740358
2023-10-31,Equity Risk Parity,equity,risk_parity,252,0.005378276264560539,0.005378276264560444,0.0,0.0,1.1629799921545305,-0.08461744619789824,1.1608296752123712,-0.08467383212690327
2023-11-01,Equity Risk Parity,equity,risk_parity,252,0.0050816909855290185,0.005059044839440308,0.022531647219974603,2.2531647219974604e-05,1.1688898970970127,-0.07996575492593161,1.1667023645902235,-0.08004315600092027
2023-11-02,Equity Risk Parity,equity,risk_parity,252,0.02393758316732991,0.023937583167329857,0.0,0.0,1.1968702962222242,-0.057942358667679494,1.1946303994741223,-0.05802161253733806
2023-11-03,Equity Risk Parity,equity,risk_parity,252,0.011876923690428245,0.011876923690428143,0.0,0.0,1.2110854333977956,-0.04675361194959082,1.2088189335669421,-0.046833807111411496
2023-11-06,Equity Risk Parity,equity,risk_parity,252,-0.004565913560300886,-0.004565913560300894,0.0,0.0,1.2055557219947617,-0.05110605255909806,1.2032995708062204,-0.05118588155674186
2023-11-07,Equity Risk Parity,equity,risk_parity,252,-0.0030152129390733466,-0.003015212939073364,0.0,0.0,1.201920714783029,-0.05396716986723038,1.1996713663707441,-0.054046758163447395
2023-11-08,Equity Risk Parity,equity,risk_parity,252,-0.001950942361879933,-0.0019509423618799815,0.0,0.0,1.1995758367449378,-0.05581282539126553,1.197330876681757,-0.0558922584153041
2023-11-09,Equity Risk Parity,equity,risk_parity,252,-0.009891780704420924,-0.009891780704420872,0.0,0.0,1.1877098956295347,-0.06515251786642196,1.185487142218989,-0.06523116515640592
2023-11-10,Equity Risk Parity,equity,risk_parity,252,0.009603489867229916,0.00960348986722992,0.0,0.0,1.1991160555774216,-0.05617471954434672,1.1968719559770205,-0.056254122122783135
2023-11-13,Equity Risk Parity,equity,risk_parity,252,-0.0014527765391832313,-0.001452776539183187,0.0,0.0,1.1973740079041209,-0.05754588676888073,1.1951331684789708,-0.057625173993113954
2023-11-14,Equity Risk Parity,equity,risk_parity,252,0.023551759786995256,0.023551759786995197,0.0,0.0,1.2255742729134704,-0.035349433883795744,1.223280657776458,-0.03543058846168845
2023-11-15,Equity Risk Parity,equity,risk_parity,252,0.005377466816329572,0.005377466816329557,0.0,0.0,1.2321647578970099,-0.030162057475152326,1.2298588089207085,-0.030243648459094663
2023-11-16,Equity Risk Parity,equity,risk_parity,252,3.27170341868941e-05,3.271703418694649e-05,0.0,0.0,1.232205070673518,-0.030130327254030975,1.2298990462534052,-0.030211920907388334
2023-11-17,Equity Risk Parity,equity,risk_parity,252,0.0020002827960391213,0.0020002827960390324,0.0,0.0,1.2346698292775782,-0.028190313633237207,1.2323591921564907,-0.028272070496975554
2023-11-20,Equity Risk Parity,equity,risk_parity,252,0.004350192572671194,0.004350192572671219,0.0,0.0,1.2400408807986028,-0.02396275435355455,1.237720191961073,-0.02404486687539431
2023-11-21,Equity Risk Parity,equity,risk_parity,252,-0.0016789558194712907,-0.0016789558194713061,0.0,0.0,1.2379589069454036,-0.02560147776715349,1.2356421144419028,-0.025683452425696807
2023-11-22,Equity Risk Parity,equity,risk_parity,252,0.0018909748699217537,0.0018909748699218465,0.0,0.0,1.2402998561284333,-0.023758914648322138,1.2379786826285295,-0.023841044318884785
2023-11-24,Equity Risk Parity,equity,risk_parity,252,0.002550312663902131,0.0025503126639021545,0.0,0.0,1.2434630085585536,-0.02126919464532817,1.241135915340478,-0.021351533772229758
2023-11-27,Equity Risk Parity,equity,risk_parity,252,0.0008440130296209871,0.0008440130296210047,0.0,0.0,1.2445125075396288,-0.020443133093117294,1.242183450224556,-0.020525541715314843
2023-11-28,Equity Risk Parity,equity,risk_parity,252,0.002763418059615699,0.0027634180596156632,0.0,0.0,1.2479516158783814,-0.01773620795668629,1.2456161224042621,-0.017818844308358672
2023-11-29,Equity Risk Parity,equity,risk_parity,252,0.004444763958972993,0.004444763958973086,0.0,0.0,1.2534984662431798,-0.01337027725560802,1.2511525920518405,-0.01345328090635789
2023-11-30,Equity Risk Parity,equity,risk_parity,252,0.006646373862880709,0.0066463738628808056,0.0,0.0,1.2618296856863798,-0.006812767254018248,1.2594682199381295,-0.006896322578063052
2023-12-01,Equity Risk Parity,equity,risk_parity,252,0.009331063381677098,0.009301337830515344,0.02945074439905105,2.945074439905105e-05,1.273603898460401,0.0,1.271182959338572,0.0
2023-12-04,Equity Risk Parity,equity,risk_parity,252,-0.0007441964985327927,-0.0007441964985327454,0.0,0.0,1.2726560868986492,-0.0007441964985327454,1.2702369494312378,-0.0007441964985326344
2023-12-05,Equity Risk Parity,equity,risk_parity,252,-0.004164237334518451,-0.004164237334518428,0.0,0.0,1.2673564449075836,-0.004905334822207785,1.2649473813027314,-0.004905334822207674
2023-12-06,Equity Risk Parity,equity,risk_parity,252,0.0002940484604257885,0.0002940484604256888,0.0,0.0,1.2677291091190193,-0.004612728767934393,1.265319337132723,-0.004612728767934393
2023-12-07,Equity Risk Parity,equity,risk_parity,252,0.0030361160985015916,0.003036116098501518,0.0,0.0,1.2715780818757545,-0.0015906174495032843,1.2691609935419368,-0.0015906174495032843
2023-12-08,Equity Risk Parity,equity,risk_parity,252,0.0020350979929458263,0.002035097992945767,0.0,0.0,1.2741658678780536,0.0,1.271743860532619,0.0
2023-12-11,Equity Risk Parity,equity,risk_parity,252,0.006404328262899596,0.006404328262899606,0.0,0.0,1.282326044357327,0.0,1.2798885256817971,0.0
2023-12-12,Equity Risk Parity,equity,risk_parity,252,0.0011478563787697522,0.001147856378769685,0.0,0.0,1.283797970487005,0.0,1.281357653890115,0.0
2023-12-13,Equity Risk Parity,equity,risk_parity,252,0.021727611116251072,0.02172761111625099,0.0,0.0,1.311691833541579,0.0,1.309198494694671,0.0
2023-12-14,Equity Risk Parity,equity,risk_parity,252,0.011246872582104469,0.011246872582104439,0.0,0.0,1.3264442644604082,0.0,1.323922883349185,0.0
2023-12-15,Equity Risk Parity,equity,risk_parity,252,-0.00433455595135598,-0.004334555951356012,0.0,0.0,1.3206947175797492,-0.004334555951356123,1.3181842655360274,-0.004334555951355901
2023-12-18,Equity Risk Parity,equity,risk_parity,252,-0.0013592542939955873,-0.0013592542939956376,0.0,0.0,1.3188995576138216,-0.0056879184815622486,1.31639251791282,-0.0056879184815622486
2023-12-19,Equity Risk Parity,equity,risk_parity,252,0.007339737590841924,0.007339737590841944,0.0,0.0,1.3285799342753846,0.0,1.3260544935608478,0.0
2023-12-20,Equity Risk Parity,equity,risk_parity,252,-0.014582426815156124,-0.014582426815156091,0.0,0.0,1.309206014615729,-0.014582426815156091,1.306717400955588,-0.01458242681515598
