trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2021-08-05,MS,Financials,-0.02127499999999999,0.11775,4
2021-08-05,NEE,Utilities,0.4939,0.009,1
2021-08-05,NEM,Materials,0.0,0.0,1
2021-08-05,NKE,Consumer,0.23877500000000002,0.09825,4
2021-08-05,QCOM,Tech,0.023885714285714288,0.027571428571428563,7
2021-08-05,SBUX,Consumer,0.0,0.0077,1
2021-08-05,SO,Utilities,0.0,0.0,1
2021-08-05,T,Comm,0.31245,0.16595000000000001,2
2021-08-05,TTWO,Comm,0.0,0.11010000000000002,3
2021-08-05,UPS,Industrials,-0.012475000000000014,0.032999999999999995,4
2021-08-05,USB,Financials,-0.105375,0.01645,4
2021-08-05,V,Financials,0.0,0.009033333333333332,3
2021-08-05,WFC,Financials,-0.14825,-0.028549999999999992,4
2021-08-05,WMT,Consumer,0.16125,0.09662500000000002,4
2021-08-05,XOM,Energy,0.09813333333333334,-0.05111666666666667,6
2021-08-06,ABBV,Healthcare,0.3818,0.3674,1
2021-08-06,ABT,Healthcare,0.0,0.0297,1
2021-08-06,ADBE,Tech,0.0,0.0,1
2021-08-06,AEP,Utilities,0.0,0.01485,2
2021-08-06,AMD,Tech,0.0,0.002166666666666666,3
2021-08-06,AMGN,Healthcare,0.0,0.0,1
2021-08-06,CCI,RealEstate,0.148,0.00325,2
2021-08-06,COP,Energy,0.011300000000000013,-0.0342,3
2021-08-06,CVX,Energy,0.07913333333333335,0.12386666666666668,3
2021-08-06,D,Utilities,0.33255,0.012575,4
2021-08-06,DIS,Consumer,0.1953,0.0133,3
2021-08-06,EA,Comm,0.0,-0.1644,2
2021-08-06,GE,Industrials,0.01465000000000001,-0.14902500000000002,4
2021-08-06,GS,Financials,-0.11476666666666667,-0.0016000000000000088,3
2021-08-06,INTC,Tech,0.1337,-0.09165,4
2021-08-06,MRK,Healthcare,0.0,0.12340000000000001,3
2021-08-06,MS,Financials,0.148,0.18395,2
2021-08-06,NEM,Materials,0.0,0.009,1
